what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.m2e.discovery,1.2.0.20120903-1050,"org.eclipse.m2e.discovery",1556638389047
os,sysinfo,,,"win32",1556638389047
arch,sysinfo,,,"x86_64",1556638389047
ws,sysinfo,,,"win32",1556638389047
locale,sysinfo,,,"en_US",1556638389047
processors,sysinfo,,,"2",1556638389047
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1556638389047
java.runtime.version,sysinfo,,,"1.7.0_13-b20",1556638389047
java.specification.name,sysinfo,,,"Java Platform API Specification",1556638389047
java.specification.vendor,sysinfo,,,"Oracle Corporation",1556638389047
java.specification.version,sysinfo,,,"1.7",1556638389047
java.vendor,sysinfo,,,"Oracle Corporation",1556638389047
java.version,sysinfo,,,"1.7.0_13",1556638389047
java.vm.info,sysinfo,,,"mixed mode",1556638389047
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1556638389047
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1556638389047
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1556638389047
java.vm.specification.version,sysinfo,,,"1.7",1556638389047
java.vm.vendor,sysinfo,,,"Oracle Corporation",1556638389047
java.vm.version,sysinfo,,,"23.7-b01",1556638389047
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1556638391297
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1556638391313
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1556638391328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556638396609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556638397672
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556638399047
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556638399922
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556638400031
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1556638401063
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1556638401094
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1556638401750
